 Strings ternary-trie 
traverse trie of size 191
a 151
aaaaaaaab 22
aaaaaaaac 13
aaaaaaaaf 49
aaaaaaaag 4
aaaaaaab 41
aaaaaaabb 121
aaaaaaabbaaaaaaabb 112
aaaaaaac 14
aaaaaaaf 50
aaaaaaag 5
aaaaaab 60
aaaaaabab 103
aaaaaabb 122
aaaaaabbaaaaaaabb 113
aaaaaac 15
aaaaaaf 51
aaaaaag 6
aaaaab 70
aaaaabaab 94
aaaaabab 104
aaaaabb 123
aaaaabbaaaaaaabb 114
aaaaac 16
aaaaaf 52
aaaaag 7
aaaab 80
aaaabaaab 85
aaaabaab 95
aaaabab 105
aaaabb 124
aaaabbaaaaaaabb 115
aaaac 17
aaaaf 53
aaaag 8
aaab 90
aaabaaaab 76
aaabaaab 86
aaabaab 96
aaabab 106
aaabb 125
aaabbaaaaaaabb 116
aaac 18
aaaf 54
aaag 9
aab 100
aabaaaaab 67
aabaaaab 77
aabaaab 87
aabaab 97
aabab 107
aabb 126
aabbaaaaaaabb 117
aac 19
aaf 55
aag 10
ab 110
abaaaaaab 58
abaaaaab 68
abaaaab 78
abaaab 88
abaab 98
abab 108
abb 127
abbaaaaaaabb 118
ac 20
af 56
ag 11
are 174
ashells 185
b 129
baaaaaaab 31
baaaaaaabb 120
baaaaaab 59
baaaaab 69
baaaab 79
baaab 89
baab 99
bab 109
bb 128
bbaaaaaaabb 119
by 144
c 21
caaaaaaab 40
e 176
ea 150
eashells 184
ells 188
ely 180
f 57
g 12
he 167
hells 187
hore 153
lls 189
ls 190
ly 181
ore 154
re 175
rely 179
s 191
sea 149
seashells 183
sells 169
she 166
shells 186
shore 152
surely 177
the 157
urely 178
y 182
