 Strings R-trie 
traverse trie of size 192
a 152
aaaaaaaab 20
aaaaaaaac 11
aaaaaaaaf 47
aaaaaaaag 2
aaaaaaab 39
aaaaaaabb 119
aaaaaaabbaaaaaaabb 110
aaaaaaac 12
aaaaaaaf 48
aaaaaaag 3
aaaaaab 58
aaaaaabab 101
aaaaaabb 120
aaaaaabbaaaaaaabb 111
aaaaaac 13
aaaaaaf 49
aaaaaag 4
aaaaab 68
aaaaabaab 92
aaaaabab 102
aaaaabb 121
aaaaabbaaaaaaabb 112
aaaaac 14
aaaaaf 50
aaaaag 5
aaaab 78
aaaabaaab 83
aaaabaab 93
aaaabab 103
aaaabb 122
aaaabbaaaaaaabb 113
aaaac 15
aaaaf 51
aaaag 6
aaab 88
aaabaaaab 74
aaabaaab 84
aaabaab 94
aaabab 104
aaabb 123
aaabbaaaaaaabb 114
aaac 16
aaaf 52
aaag 7
aab 98
aabaaaaab 65
aabaaaab 75
aabaaab 85
aabaab 95
aabab 105
aabb 124
aabbaaaaaaabb 115
aac 17
aaf 53
aag 8
ab 108
abaaaaaab 56
abaaaaab 66
abaaaab 76
abaaab 86
abaab 96
abab 106
abb 125
abbaaaaaaabb 116
ac 18
af 54
ag 9
are 175
ashells 186
b 127
baaaaaaab 29
baaaaaaabb 118
baaaaaab 57
baaaaab 67
baaaab 77
baaab 87
baab 97
bab 107
bb 126
bbaaaaaaabb 117
by 145
c 19
caaaaaaab 38
e 177
ea 151
eashells 185
ells 189
ely 181
f 55
g 10
he 168
hells 188
hore 154
lls 190
ls 191
ly 182
ore 155
re 176
rely 180
s 192
sea 150
seashells 184
sells 170
she 167
shells 187
shore 153
surely 178
the 158
urely 179
y 183
